,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
glyc3p,Glycerol 3-phosphate,C3H7O6P,170.0589,10648;12843;12848;15978;26705;42793;57597,HMDB00126;HMDB02722,C00093,,cpd00080,GLYCEROL-3P,1296;27695,188458;76114,MNXM66,glyc3p_c;M_glyc3p;glyc3p
glyc__R,(R)-Glycerate,C3H5O4,105.0699,10999;12985;16659;21027;21030;32398;4187;41990,,C00258,,,GLYCERATE,1999,,MNXM189,glyc__R_c;M_glyc__R;glyc__R
glyc__S,(S)-Glycerate,C3H5O4,,,,,,,,,,MNXM147340,glyc__S_c;M_glyc__S;glyc__S
glyclt,Glycolate C2H3O3,C2H3O3,75.044,14348;17497;24388;24390;29805;42865;5475,HMDB00115;HMDB03035,C00160,,cpd00139,GLYCOLLATE,1953,389822,MNXM222,glyclt_c;M_glyclt;glyclt
glygly,Glycylglycine C4H8N2O3,C4H8N2O3,132.1179,14364;17201;24413;356445;5504,HMDB11733,C02037,,cpd01391,GLYCYLGLYCINE,2362;25557,,MNXM4002,glygly_c;M_glygly;glygly
glygn1,"Glycogen, structure 1 (glycogenin-11[1,4-Glc])",C66H111O56X,,,,,,,,,,MNXM11714,glygn1_c;M_glygn1;glygn1
glygn2,"Glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",C66H111O56X,,,,,,,,,,MNXM8681,glygn2_c;M_glygn2;glygn2
glygn3,"Glycogen, structure 3 (glycogenin-7[1,4-Glc])",C42H71O36X,,,,,,,,,,MNXM11715,glygn3_c;M_glygn3;glygn3
glygn4,"Glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",C18H31O16X,,,,,,,,,,MNXM11716,glygn4_e;M_glygn4;glygn4
glygn5,"Glycogen, structure 5 (glycogenin-2[1,4-Glc])",C12H21O11X,,,,,,,,,,MNXM11717,glygn5_e;M_glygn5;glygn5
glyleu,Glycylleucine,C8H16N2O3,188.2242,73514,HMDB00759,C02155,,cpd01459;cpd15604,CPD-12312,,,MNXM126241,glyleu_c;M_gly_leu__L;M_glyleu;gly_leu__L;glyleu
glyphe,Glycylphenylalanine,C11H14N2O3,222.2405,73912,HMDB28848,,,cpd15605,,25543,,MNXM8669,glyphe_c;M_gly_phe__L;M_glyphe;gly_phe__L;glyphe
glypro,Glycylproline,C7H12N2O3,172.1818,70744;73779,HMDB00721,,,cpd22832,CPD-10814,20757,,MNXM11725,glypro_c;M_glypro;glypro
glysar,Glycylsarcosine,C5H10N2O3,146.1445,,,,,cpd26332,CPD0-1914,,,MNXM55458,glysar_c;M_glysar;glysar
gm1_cho,Ganglioside GM1,C55H95N3O30RCO,,,,,,,,,,MNXM722981,gm1_cho_g;M_gm1_cho;gm1_cho
gm1a_cho,GM1alpha,C56H95N3O31R,,61577,,G00131,LMSP0601BM00,,,,,MNXM43821,gm1a_cho_g;M_gm1a_cho;gm1a_cho
gm1b_cho,GM1b,C56H95N3O31R,,62370;78568,,G00125,,cpd21591,,,,MNXM41523,gm1b_cho_g;M_gm1b_cho;gm1b_cho
gm2_cho,N-acetyl-beta-D-galactosaminyl-(1->4)-[alpha-N-acetylneuraminosyl-(2->3)]-beta-D-galactosyl-beta-D-glucosyl-(1<->1)-ceramide anion,C49H85N3O25RCO,,,,,,,,,,MNXM164935,gm2_cho_g;M_gm2_cho;gm2_cho
gm2a_cho,GM2alpha,C49H85N3O25RCO,,,,G00130,,,,,,MNXM164820,gm2a_cho_g;M_gm2a_cho;gm2a_cho
gm3_cho,Alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide(1-); GM3,C41H72N2O20RCO,,,,,,,,,,MNXM163732,gm3_cho_g;M_gm3_cho;gm3_cho
gmp,GMP C10H12N5O8P,C10H12N5O8P,361.2058,13341;14381;17345;24449;24450;29058;40119;42615;42647;42831;42887;42892;42979;47450;5228;58115,HMDB01397,C00144,,cpd00126,GMP,1309,,MNXM113,gmp_c;M_gmp;gmp
gncore1,"GlcNAc-alpha-1,4-Core 1",C22H37N2O15X,,,,,,,,,,MNXM18091,gncore1_g;M_gncore1;gncore1
gncore2,"GlcNAc-alpha-1,4-Core 2",C30H50N3O20X,,,,,,,,,,MNXM18092,gncore2_g;M_gncore2;gncore2
gp1c_cho,GP1c,,,,,G00122,LMSP0601AX00,cpd21590,,,,MNXM13320,gp1c_cho_c;M_gp1c_cho;gp1c_cho
gp1calpha_cho,GP1c alpha,C100H159N7O63R,,87802;88004,,,,,,,,MNXM162653,gp1calpha_cho_c;M_gp1calpha_cho;gp1calpha_cho
gpail_cho,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,C17H28NO17PR2,,12189;12964;17049;20998;4166;53054;57997,,C04248,,cpd12500,CPD-1113,,,MNXM1411,gpail_cho_c;M_gpail_cho;M_gpail_hs;gpail_cho;gpail_hs
gpi_cho,"{[PE-Man-],[PE-]Man},{PE-}Man-GlcN-acylPI",C55H106N4O38P4RCO2R2CO2,,,,,,,,,,MNXM163609,gpi_cho_r;M_gpi_cho;gpi_cho
gpi_prot_cho,"{[(Prot-PE-Man),(PE)-Man],[PE]}-Man-GlcN-acylPI",C55H106N4O38P4RCO2R2CO2X,,,,,,,,,,MNXM165234,gpi_prot_cho_r;M_gpi_prot_cho;gpi_prot_cho
gpi_sig,Glycophosphatidylinositol (GPI) signal sequence (C-terminal peptide),Y,,,,,,,,,,MNXM6283,gpi_sig_r;M_gpi_sig;gpi_sig
gq1b_cho,GQ1b,,,,,G03812;G03932,LMSP0601AV00;LMSP0601CU00,cpd21585,,,,MNXM55634,gq1b_cho_c;M_gq1b_cho;gq1b_cho
gq1balpha_cho,GQ1balpha,C89H143N6O55R,,78572;82609,,G00129,,cpd21594,,,,MNXM147031,gq1balpha_cho_c;M_gq1balpha_cho;gq1balpha_cho
gq1c_cho,GQ1c,C89H143N6O55R,,87791;87994,,G00121,LMSP0601AU00,cpd21589,Ganglioside-GQ1c,,,MNXM9260,gq1c_cho_g;M_gq1c_cho;gq1c_cho
grdp,Geranyl diphosphate,C10H17O7P2,311.1869,14299;17211;24223;42877;5332;58057,HMDB01285;HMDB01560;HMDB02239;HMDB06506,C00341,LMPR0102010001,cpd00283,GERANYL-PP,5050,191409,MNXM100,grdp_c;M_grdp;grdp
gsn,Guanosine,C10H13N5O5,283.2407,14375;16750;24444;42840;42847;42853;471737;5564,HMDB00133,C00387,,cpd00311,GUANOSINE,1872,,MNXM401,gsn_c;M_gsn;gsn
gt1a_cho,GT1a,C78H127N5O47R,,21171;27691;5231;78447,,C06138;G00112,LMSP0601AW00,cpd03658,Ganglioside-GT1a,,,MNXM5618,gt1a_cho_c;M_gt1a_cho;gt1a_cho
gt1alpha_cho,GT1aalpha,C78H127N5O47R,,78571;82608,,G00128,,cpd21593,,,,MNXM147030,gt1alpha_cho_g;M_gt1alpha_cho;gt1alpha_cho
gt1b_cho,GT1b,C78H127N5O47R,,21172;28058;5232;78452,,C06140;G00116;G01804;G04091,LMSP0601AT00;LMSP0601BW00,cpd03660,,8417,,MNXM2348,gt1b_cho_g;M_gt1b_cho;gt1b_cho
gt1c_cho,GT1c,C78H127N5O47R,,87789;87992,,G00120,LMSP0601AR00,cpd21588,Ganglioside-GT1c,,,MNXM9302,gt1c_cho_g;M_gt1c_cho;gt1c_cho
gt2_cho,GT2,,,,,G00119,LMSP0601AO00,cpd21587,,,,MNXM163402,gt2_cho_g;M_gt2_cho;gt2_cho
gt3_cho,GT3,,,,,,LMSP0601AL00,cpd21586,,,,MNXM163403,gt3_cho_c;M_gt3_cho;gt3_cho
gthox,Oxidized glutathione,C20H30N6O12S2,610.616,14328;14720;17858;24336;42832;58297;7840,HMDB03337,C00127;D00031,,cpd00111,OXIDIZED-GLUTATHIONE,1939,111745;1655882;3341331,MNXM151,gthox_c;M_gthox;gthox
gthrd,Reduced glutathione,C10H16N3O6S,306.316,12402;14327;16856;24334;42873;43049;5437;57925,HMDB00125;HMDB01463;HMDB06960;HMDB62697,C00051;D00014,,cpd00042,GLUTATHIONE,1926,1247892;1500783;158543;1655887;29450,MNXM57,gthrd_c;M_gthrd;gthrd
gtocophe,Gamma-Tocopherol,C28H48O2,416.6795,10579;12406;18185;24199,HMDB01492;HMDB02634,C02483,LMPR02020065,cpd01631,GAMA-TOCOPHEROL,,,MNXM2522,gtocophe_c;M_gtocophe;gtocophe
gtp,GTP C10H12N5O14P3,C10H12N5O14P3,519.1509,13342;15996;24451;37565;42934;5234;57600,HMDB01273,C00044,,cpd00038,GTP,1282,113573;29438,MNXM51,gtp_c;M_gtp;gtp
gua,Guanine,C5H5N5O,151.1261,14371;14372;16235;24443;42948;5563,HMDB00132,C00242,,cpd00207,GUANINE,59,83956,MNXM259,gua_c;M_gua;gua
gudac,Guanidinoacetate,C3H7N3O2,117.1066,131444;14369;16344;24438;24440;44474;5560;57742;86649,HMDB00128,C00581,,cpd00451,GUANIDOACETIC_ACID,2105,113543;30401,MNXM587,gudac_c
gullac,"L-Gulono-1,4-lactone",C6H10O6,178.14,13116;17587;21320;58198;6236,,C01040,,,L-GULONO-1-4-LACTONE,2222,,MNXM928,gullac_c;M_gullac;gullac
guln__L,L-gulonate,C6H11O7,195.1479,13115;16154;21318;21319;24461;24462;6235,HMDB03290,C00800,,cpd00594,L-GULONATE,2159;26258,5661268,MNXM1927,guln__L_c;M_guln__L;guln__L
gum,Gums,C2760000H5060000O2530000,,,,,,,,,,MNXM163404,gum_e;M_gum;gum
gumdchac,Guar gum-deoxyxholic acid complex,C2760024H5060039O2530004,,,,,,,,,,MNXM164825,gumdchac_e;M_gumdchac;gumdchac
gumgchol,Guar gum-glycocholate complex,C2760026H5060043NO2530006,,,,,,,,,,MNXM164826,gumgchol_e;M_gumgchol;gumgchol
gumtchol,Guar gum-taurocholic acid complex,C2760026H5060045NO2530007S,,,,,,,,,,MNXM164827,gumtchol_e;M_gumtchol;gumtchol
h,H+,H,1.00739,10744;13357;15378;5584,HMDB59597,C00080,,cpd00067,PROTON,39,1132304;113529;1470067;156540;163953;193465;194688;2000349;2872447;351626;372511;374900;425969;425978;425999;427899;428040;428548;5668577;70106;74722,MNXM1,h_c;M_h;h
h2co3,Carbonic acid,CH2O3,,,HMDB03538;HMDB31453,C01353,,,CO3;H2CO3,,,MNXM96530,h2co3_c;M_h2co3;h2co3
h2o,H2O H2O,H2O,18.0153,10743;13352;13365;13419;15377;16234;27313;29412;42043;42857;43228;44292;44641;44701;44819;5585;5594,HMDB01039;HMDB02111,C00001;C01328;D00001,,cpd00001;cpd15275,OH;OXONIUM;WATER,40,109276;113518;113519;113521;141343;1605715;189422;2022884;29356;351603;5278291;5668574;5693747;8851517,MNXM2,h2o_c;M_h2o;M_oh1;h2o;oh1
h2o2,Hydrogen peroxide,H2O2,34.0147,13354;13355;16240;24637;29192;44812;5586,HMDB03125;HMDB06491,C00027;D00008,,cpd00025,HYDROGEN-PEROXIDE,1909,113575;1614617;189481;29408;351629,MNXM22,h2o2_c;M_h2o2;h2o2
hLkynr,3 Hydroxy L kynurenine C10H12N2O4,C10H12N2O4,224.2133,11823;1530;17380;20055;58125,HMDB11631,C03227,,cpd02065,3-HYDROXY-L-KYNURENINE,6493,34351,MNXM576,hLkynr_c;M_hLkynr;hLkynr
ha,Hyaluronan,C14H22NO12,396.3245,,,C00518;D08043;G10505,,cpd23482,HYALURONATE,,,MNXM18575,ha_e;M_ha;ha
ha_deg1,Hyaluronan degradation product 1,C22H33N2O16,,,,,,,,,,MNXM11834,ha_deg1_l;M_ha_deg1;ha_deg1
ha_pre1,"Hyaluronan biosynthesis, precursor 1",C14H20NO11,378.3092,11724;132151;132805;1429;16126;19931;63279;63280,,C04794;G02170,,cpd02913,CPD-13473,7573,,MNXM3926,ha_pre1_e
hco3,Bicarbonate,CHO3,61.0174,13351;13363;17544;22863;23017;23744;28976;29201;3401;40961;41605;41609;5589,HMDB00595,C00288,,cpd00242,HCO3,1916;2275,111627;29896;425425,MNXM60,hco3_c;M_hco3;hco3
hcoumarin,Umbelliferone; 7-Hydroxy-2H-1-Benzopyran-2-one,C9H6O3,,,,,,,,,,MNXM11839,hcoumarin_c;M_hcoumarin;hcoumarin
hcys__L,L-Homocysteine,C4H9NO2S,135.185,13122;17588;21329;43117;58199;6245;63072,,C00155,,,HOMO-CYS,1950,,MNXM114070,hcys__L_c;M_hcys__L;hcys__L
hdca,Hexadecanoate (n-C16:0),C16H31O2,255.4167,14730;15756;231736;233028;24540;24541;24542;24550;29889;35978;44952;7896,HMDB00220;HMDB60083,C00249;D05341,LMFA01010001,cpd00214,PALMITATE,1990,2453691;3632881;390435;426576;5690516;76168,MNXM108,hdca_c;M_hdca;hdca
hdcea,Hexadecenoate (n-C16:1),C16H29O2,,,,,,,,,,MNXM950,hdcea_c;M_hdcea;hdcea
hdcecrn,Hexadecenoyl carnitine,C23H43NO4,,,,,,,,,,MNXM8716,hdcecrn_c;M_hdcecrn;hdcecrn
hdcoa,Hexadecenoyl-CoA (n-C16:1CoA),C37H60N7O17P3S,,,,,,,,,,MNXM90167,hdcoa_c;M_hdcoa;hdcoa
hdd2coa,Trans-Hexadec-2-enoyl-CoA,C37H60N7O17P3S,999.8969999999999,10728;27047;28935;61526,HMDB03945;HMDB06533,C05272,LMFA07050020;LMFA07050144,cpd03126,CPD0-2117,2749,77284,MNXM581,hdd2coa_x;M_hdd2coa;hdd2coa
hdd2crn,Trans-Hexadec-2-enoyl carnitine,C23H43NO4,,,,,,,,,,MNXM9167,hdd2crn_c;M_hdd2crn;hdd2crn
hdeACP,Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),C400H631O143N96P1S3,,,,,,,,,,MNXM89949,hdeACP_c;M_hdeACP;hdeACP
hestratriol,"4,17 dihydroxy estradiol",C18H24O3,,,,,,,,,,MNXM91434,hestratriol_c;M_hestratriol;hestratriol
hexc,Hexacosanoate  n C260  C26H51O2,C26H51O2,,,,,,,,,,MNXM1833,hexc_c;M_hexc;hexc
hexccoa,Hexacosanoyl CoA  n C260CoA  C47H82N7O17P3S,C47H82N7O17P3S,,,,,,,,,,MNXM1479,hexccoa_c;M_hexccoa;hexccoa
hexccrn,Hexacosanoyl carnitine,C33H65NO4,,,,,,,,,,MNXM8714,hexccrn_c;M_hexccrn;hexccrn
hgentis,Homogentisate C8H7O4,C8H7O4,167.1393,11452;14410;16169;24615;44744;44747;5755,HMDB00130,C00544,,cpd00426,HOMOGENTISATE,5134,30337,MNXM345,hgentis_c;M_hgentis;hgentis
his__L,L-Histidine,C6H9N3O2,155.1546,13117;15971;21324;24598;27570;32510;32511;32512;32513;32529;32530;32531;32532;43048;43114;43118;43190;43239;5733;57595;6240,HMDB00177;HMDB03412,C00135;C00768;D00032,,cpd00119;cpd00572,HIS,2151;81,29612;379695,MNXM134,his__L_c;M_his__L;his__L
hista,Histamine extracellular,C5H10N3,112.1525,14401;18295;24596;43187;58432;817,HMDB00870;HMDB60263,C00388;D08040,,cpd00312,HISTAMINE,5065,175992;390899,MNXM635,hista_c;M_hista;hista
hlys,Erythro-5-hydroxy-L-lysine,C6H15N2O3,163.1944,12132;18040;20576;43764;58357,HMDB62570,C16741,,cpd19196;cpd22134;cpd29318,5-HYDROXY-L-LYSINE;CPD-14226,5448,,MNXM722766,hlys_c;M_hlys;hlys
hmbil,Hydroxymethylbilane,C40H38N4O17,846.7507,14423;16645;24716;57845;5809,HMDB01137,C01024,,cpd00755,HYDROXYMETHYLBILANE,5362,189449,MNXM547,hmbil_c;M_hmbil;hmbil
hmgcoa,Hydroxymethylglutaryl CoA C27H39N7O20P3S,C27H39N7O20P3S,906.622,11814,HMDB01375,,LMFA07050209,,,2029,,MNXM36493,hmgcoa_c;M_hmgcoa;hmgcoa
hnifedipine,Hnifedipine c,C17H18N2O7,,,,,,,,,,MNXM18597,hnifedipine_c;M_hnifedipine;hnifedipine
hom__L,L-Homoserine,C4H9NO3,119.1192,13123;15699;21330;43131;57476;6246,HMDB00719,C00263,,cpd00227,HOMO-SER,2001,,MNXM353,hom__L_c;M_hom__L;hom__L
homoval,Homovanillate,C9H9O4,181.1659,133744;545959;5758,HMDB00118;HMDB04285,C05582,,cpd03312,CPD-7651,,,MNXM3287,homoval_c
hop,2-Hydroxy-3-oxopropanoate,C3H3O4,103.0541,1123;11583;15194;16992;19605;57978,HMDB06781;HMDB06938,C01146,,cpd00843,TARTRONATE-S-ALD,,,MNXM475,hop_c;2h3opp;2h3oppan;M_2h3opp;M_2h3oppan;M_hop;hop
houdic,"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",C5H5N4O5,201.1175,31132;58639,HMDB59663,C12248,,cpd09027,CPD-5821,14282,,MNXM1805,houdic_c;5houdic;M_5houdic;M_houdic;houdic
hpdca,Heptadecanoate  C170  C17H33O2,C17H33O2,,,,,,,,,,MNXM11802,hpdca_c;M_hpdca;hpdca
hpdcacoa,Heptadecanoyl coa,C38H64N7O17P3S,,,,,,,,,,MNXM7415,hpdcacoa_c;M_hpdcacoa;hpdcacoa
hpdcacrn,Heptadecanoyl carnitine,C24H47NO4,,,,,,,,,,MNXM8707,hpdcacrn_c;M_hpdcacrn;hpdcacrn
hpyr,Hydroxypyruvate,C3H3O4,103.0541,11837;14425;17180;20082;20083;30841;39999;5813,HMDB01352,C00168,,cpd00145,OH-PYR,1959,,MNXM392,hpyr_c;M_hpyr;hpyr
hretn,4 hydroxy retinoic acid,C20H27O3,,,,,,,,,,MNXM8133,hretn_c;M_hretn;hretn
hs,"Heparan sulfate, free chain",C4H4NO5S,178.144,,,,,cpd07987,,,,MNXM38211,hs_l;M_hs;hs
hs_deg1,"Heparan sulfate, degradation product 1",C79H115N5O99S11,,,,,,,,,,MNXM11753,hs_deg1_l;M_hs_deg1;hs_deg1
hs_deg10,"Heparan sulfate, degradation product 10",C55H80N3O70S8,,,,,,,,,,MNXM11754,hs_deg10_l;M_hs_deg10;hs_deg10
hs_deg11,"Heparan sulfate, degradation product 11",C55H81N3O67S7,,,,,,,,,,MNXM11755,hs_deg11_l;M_hs_deg11;hs_deg11
hs_deg12,"Heparan sulfate, degradation product 12",C55H82N3O64S6,,,,,,,,,,MNXM11756,hs_deg12_l;M_hs_deg12;hs_deg12
hs_deg13,"Heparan sulfate, degradation product 13",C55H83N3O61S5,,,,,,,,,,MNXM11757,hs_deg13_l;M_hs_deg13;hs_deg13
hs_deg14,"Heparan sulfate, degradation product 14",C57H84N3O62S5,,,,,,,,,,MNXM11758,hs_deg14_l;M_hs_deg14;hs_deg14
hs_deg15,"Heparan sulfate, degradation product 15",C49H71N2O57S5,,,,,,,,,,MNXM11759,hs_deg15_l;M_hs_deg15;hs_deg15
hs_deg16,"Heparan sulfate, degradation product 16",C49H72N2O54S4,,,,,,,,,,MNXM11760,hs_deg16_l;M_hs_deg16;hs_deg16
hs_deg17,"Heparan sulfate, degradation product 17",C43H65N2O48S4,,,,,,,,,,MNXM11761,hs_deg17_l;M_hs_deg17;hs_deg17
hs_deg18,"Heparan sulfate, degradation product 18",C43H66N2O45S3,,,,,,,,,,MNXM11762,hs_deg18_l;M_hs_deg18;hs_deg18
hs_deg19,"Heparan sulfate, degradation product 19",C43H67N2O42S2,,,,,,,,,,MNXM11763,hs_deg19_l;M_hs_deg19;hs_deg19
hs_deg2,"Heparan sulfate, degradation product 2",C79H116N5O96S10,,,,,,,,,,MNXM11764,hs_deg2_l;M_hs_deg2;hs_deg2
hs_deg20,"Heparan sulfate, degradation product 20",C45H68N2O43S2,,,,,,,,,,MNXM11765,hs_deg20_l;M_hs_deg20;hs_deg20
hs_deg21,"Heparan sulfate, degradation product 21",C37H55NO38S2,,,,,,,,,,MNXM11766,hs_deg21_l;M_hs_deg21;hs_deg21
hs_deg22,"Heparan sulfate, degradation product 22",C37H56NO35S,,,,,,,,,,MNXM11767,hs_deg22_l;M_hs_deg22;hs_deg22
hs_deg23,"Heparan sulfate, degradation product 23",C31H49NO29S,,,,,,,,,,MNXM11768,hs_deg23_l;M_hs_deg23;hs_deg23
hs_deg24,"Heparan sulfate, degradation product 24",C31H50NO26,,,,,,,,,,MNXM11769,hs_deg24_l;M_hs_deg24;hs_deg24
hs_deg25,"Heparan sulfate, degradation product 25",C23H37O21,,,,,,,,,,MNXM11770,hs_deg25_l;M_hs_deg25;hs_deg25
hs_deg3,"Heparan sulfate, degradation product 3",C81H117N5O97S10,,,,,,,,,,MNXM11771,hs_deg3_l;M_hs_deg3;hs_deg3
hs_deg4,"Heparan sulfate, degradation product 4",C73H104N4O92S10,,,,,,,,,,MNXM11772,hs_deg4_l;M_hs_deg4;hs_deg4
hs_deg5,"Heparan sulfate, degradation product 5",C67H97N4O86S10,,,,,,,,,,MNXM11773,hs_deg5_l;M_hs_deg5;hs_deg5
hs_deg6,"Heparan sulfate, degradation product 6",C67H98N4O83S9,,,,,,,,,,MNXM11774,hs_deg6_l;M_hs_deg6;hs_deg6
hs_deg7,"Heparan sulfate, degradation product 7",C67H99N4O80S8,,,,,,,,,,MNXM11775,hs_deg7_l;M_hs_deg7;hs_deg7
hs_deg8,"Heparan sulfate, degradation product 8",C69H100N4O81S8,,,,,,,,,,MNXM11776,hs_deg8_l;M_hs_deg8;hs_deg8
hs_deg9,"Heparan sulfate, degradation product 9",C61H87N3O76S8,,,,,,,,,,MNXM11777,hs_deg9_l;M_hs_deg9;hs_deg9
hs_pre1,"Heparan sulfate, precursor 1",C31H49NO25X,,,,,,,,,,MNXM11779,hs_pre1_g;M_hs_pre1;hs_pre1
hs_pre10,"Heparan sulfate, precursor 10",C79H121N5O77S4X,,,,,,,,,,MNXM11780,hs_pre10_g;M_hs_pre10;hs_pre10
hs_pre11,"Heparan sulfate, precursor 11",C79H121N5O77S4X,,,,,,,,,,MNXM11781,hs_pre11_g;M_hs_pre11;hs_pre11
hs_pre12,"Heparan sulfate, precursor 12",C79H119N5O83S6X,,,,,,,,,,MNXM11782,hs_pre12_g;M_hs_pre12;hs_pre12
hs_pre13,"Heparan sulfate, precursor 13",C79H116N5O92S9X,,,,,,,,,,MNXM11783,hs_pre13_g;M_hs_pre13;hs_pre13
hs_pre14,"Heparan sulfate, precursor 14",C79H115N5O95S10X,,,,,,,,,,MNXM11784,hs_pre14_g;M_hs_pre14;hs_pre14
hs_pre15,"Heparan sulfate, precursor 15",C79H114N5O98S11X,,,,,,,,,,MNXM11785,hs_pre15_g;M_hs_pre15;hs_pre15
hs_pre2,"Heparan sulfate, precursor 2",C37H56NO31X,,,,,,,,,,MNXM11786,hs_pre2_g;M_hs_pre2;hs_pre2
hs_pre3,"Heparan sulfate, precursor 3",C45H69N2O36X,,,,,,,,,,MNXM11787,hs_pre3_g;M_hs_pre3;hs_pre3
hs_pre4,"Heparan sulfate, precursor 4",C51H76N2O42X,,,,,,,,,,MNXM11788,hs_pre4_g;M_hs_pre4;hs_pre4
hs_pre5,"Heparan sulfate, precursor 5",C59H89N3O47X,,,,,,,,,,MNXM11789,hs_pre5_g;M_hs_pre5;hs_pre5
hs_pre6,"Heparan sulfate, precursor 6",C65H96N3O53X,,,,,,,,,,MNXM11790,hs_pre6_g;M_hs_pre6;hs_pre6
hs_pre7,"Heparan sulfate, precursor 7",C73H109N4O58X,,,,,,,,,,MNXM11791,hs_pre7_g;M_hs_pre7;hs_pre7
hs_pre8,"Heparan sulfate, precursor 8",C79H116N4O64X,,,,,,,,,,MNXM11792,hs_pre8_g;M_hs_pre8;hs_pre8
hs_pre9,"Heparan sulfate, precursor 9",C87H129N5O69X,,,,,,,,,,MNXM11793,hs_pre9_g;M_hs_pre9;hs_pre9
hspg,Heparan sulfate proteoglycan,C79H113N5O101S12X,,,,,,,,,,MNXM7411,hspg_e;M_hspg;hspg
htaxol,Hydroxylated taxol,C47H31NO15,,,,,,,,,,MNXM11843,htaxol_c;M_htaxol;htaxol
hxan,Hypoxanthine,C5H4N4O,136.1115,14431;17368;24762;43237;5841,HMDB00157,C00262,,cpd00226,HYPOXANTHINE,1321;5528,113599,MNXM213,hxan_c;M_hxan;hxan
hxdcal,Hexadecanal C16H32O,C16H32O,240.4247,14395;14729;17600;19159;24539;5695,HMDB01551,C00517,LMFA06000088,cpd00405,PALMITALDEHYDE,2071,428663;6808468,MNXM528,hxdcal_c;M_hxdcal;hxdcal
hyptaur,Hypotaurine; 2-Aminoethanesulfinic acid,C2H7NO2S,109.147,14429;16668;24760;57853;5839,HMDB00965,C00519,,cpd00406,HYPOTAURINE,5127,1655445,MNXM726,hyptaur_c
i,I c,I,126.90502,14460;16382;43451;49698;50317;5591;5946,HMDB12238;HMDB59634,C00708;C05590,,cpd00534;cpd12742,CPD-387,54;7997,209785;209818;622410,MNXM163,i_c;M_i;i
ibcoa,Isobutyryl-CoA,C25H38N7O17P3S,833.5939999999999,11629;1214;12754;15479;19712;41634;57338,HMDB01243,C00630,LMFA07050331,cpd00481,ISOBUTYRYL-COA,2125,70851,MNXM470,ibcoa_m;M_ibcoa;ibcoa
icit,Isocitrate,C6H5O7,189.1013,14465;16087;24884;24886;30887;36453;36454;5998,HMDB00193,C00311,,cpd00260,,2013,,MNXM89661,icit_c;M_icit;icit
id3acald,Indole 3 acetaldehyde C10H9NO,C10H9NO,159.1846,11477;14445;18086;24798;5902,,C00637,,,,5164,,MNXM518,id3acald_c;M_id3acald;id3acald
idour,L-Iduronate,C6H9O7,,,,,,,,,,MNXM90841,idour_c;M_idour;idour
idp,IDP C10H11N4O11P2,C10H11N4O11P2,425.1637,13371;17808;19270;43252;58280;5848,HMDB03335,C00104,,cpd00090,IDP,1299,2509811,MNXM495,idp_c;M_idp;idp
igg,Igg[g],,,,,,,,,,,MNXM164841,igg_g;M_igg;igg
igg_hc,Igg hc[r],,,,,,,,,,,MNXM164842,igg_hc_r;M_igg_hc;igg_hc
igg_lc,Igg lc[r],,,,,,,,,,,MNXM164843,igg_lc_r;M_igg_lc;igg_lc
ile__L,L-Isoleucine,C6H13NO2,131.1729,13127;17191;21344;24898;32604;32605;32612;32613;43290;43342;43366;58045;6255,HMDB00172,C00407;D00065,,cpd00322,ILE,23116;70,113537;30102,MNXM231,ile__L_c;M_ile__L;ile__L
im4ac,Imidazole-4-acetate,C5H5N2O2,125.1059,12017;14435;16974;24776;24777;43615;57969;5875;70804,HMDB02024;HMDB60261,C02835,,cpd01831,4-IMIDAZOLEACETATE,2541,,MNXM1330,im4ac_c;M_im4ac;M_imzac;im4ac;imzac
im4act,Imidazole-4-acetaldehyde,C5H6N2O,110.1139,24775;27398;5874,HMDB03905;HMDB06237,C05130,,cpd03052,IMIDAZOLE_ACETALDEHYDE,7754,5696128,MNXM1745,im4act_c;M_im4act;M_imzacd;im4act;imzacd
imp,IMP C10H11N4O8P,C10H11N4O8P,346.1912,12057;12063;13372;13373;14457;17202;19271;43418;43475;43524;43528;43563;43611;47501;58053;5849,HMDB00175,C00130,,cpd00114,IMP,1306,2509792;29602,MNXM125,imp_c;M_imp;imp
ind3ac,Indole 3 acetate C10H8NO2,C10H8NO2,174.1766,14447;14452;16411;24801;24802;30854;5905,HMDB00197,C00954,,cpd00703,INDOLE_ACETATE_AUXIN,5333,,MNXM383,ind3ac_c;M_ind3ac;ind3ac
indpyr,Indolepyruvate C11H8NO3,C11H8NO3,202.1867,11113;11738;14454;17640;24816;24817;29095;29750;39967;5917,HMDB60484,C00331,,cpd00278,INDOLE_PYRUVATE,5047,893599,MNXM315,indpyr_c;M_indpyr;indpyr
